codelist_name,urn,notation,label,description
Industrial activity code list,urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_ACTIVITY(1.5).M69_70,N/A,N/A,Legal and accounting activities; activities of head offices; management consultancy activities
Industrial activity code list,urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_ACTIVITY(1.5).M691,N/A,N/A,Legal activities
Industrial activity code list,urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_ACTIVITY(1.5).M692,N/A,N/A,"Accounting, bookkeeping and auditing activities; tax consultancy"
Industrial activity code list,urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_ACTIVITY(1.5).M69T71,N/A,N/A,Legal and accounting activities; activities of head offices; management consultancy activities; architectural and engineering activities; technical testing and analysis
Industrial activity code list,urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_ACTIVITY(1.5).M70,N/A,N/A,Activities of head offices; management consultancy activities
Industrial activity code list,urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_ACTIVITY(1.5).M701,N/A,N/A,Activities of head offices
Industrial activity code list,urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_ACTIVITY(1.5).M702,N/A,N/A,Management consultancy activities
Industrial activity code list,urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_ACTIVITY(1.5).M71,N/A,N/A,Architectural and engineering activities; technical testing and analysis
Industrial activity code list,urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_ACTIVITY(1.5).M72,N/A,N/A,Scientific research and development
Industrial activity code list,urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_ACTIVITY(1.5).M73,N/A,N/A,Advertising and market research
Industrial activity code list,urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_ACTIVITY(1.5).M731,N/A,N/A,Advertising
Industrial activity code list,urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_ACTIVITY(1.5).M732,N/A,N/A,Market research and public opinion polling
Industrial activity code list,urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_ACTIVITY(1.5).M73T75,N/A,N/A,"Advertising and market research; other professional, scientific and technical activities; veterinary activities"
Industrial activity code list,urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_ACTIVITY(1.5).M74,N/A,N/A,"Other professional, scientific and technical activities"
Industrial activity code list,urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_ACTIVITY(1.5).M74_75,N/A,N/A,"Other professional, scientific and technical activities; veterinary activities"
Industrial activity code list,urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_ACTIVITY(1.5).M75,N/A,N/A,Veterinary activities
Industrial activity code list,urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_ACTIVITY(1.5).N,N/A,N/A,Administrative and support service activities
Industrial activity code list,urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_ACTIVITY(1.5).N77,N/A,N/A,Rental and leasing activities
Industrial activity code list,urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_ACTIVITY(1.5).N78,N/A,N/A,Employment activities
Industrial activity code list,urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_ACTIVITY(1.5).N78T82,N/A,N/A,"Employment, travel agency, security and investigation, service and landscape, office administrative and support activities"
Industrial activity code list,urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_ACTIVITY(1.5).N79,N/A,N/A,"Travel agency, tour operator reservation service and related activities"
Industrial activity code list,urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_ACTIVITY(1.5).N80,N/A,N/A,Security and investigation activities
Industrial activity code list,urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_ACTIVITY(1.5).N80T82,N/A,N/A,"Security and investigation, service and landscape, office administrative and support activities"
Industrial activity code list,urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_ACTIVITY(1.5).N81,N/A,N/A,Services to buildings and landscape activities
Industrial activity code list,urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_ACTIVITY(1.5).N82,N/A,N/A,"Office administrative, office support and other business support activities"
Industrial activity code list,urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_ACTIVITY(1.5).NAL,N/A,N/A,Not allocated [deprecated]
Industrial activity code list,urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_ACTIVITY(1.5).O,N/A,N/A,Public administration and defence; compulsory social security
Industrial activity code list,urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_ACTIVITY(1.5).O_T_U,N/A,N/A,Public administration; activities of households and of extraterritorial organisations
Industrial activity code list,urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_ACTIVITY(1.5).O84,N/A,N/A,Public administration and defence; compulsory social security
Industrial activity code list,urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_ACTIVITY(1.5).OTQ,N/A,N/A,"Public administration, defence, education, human health and social work activities"
Industrial activity code list,urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_ACTIVITY(1.5).OTS,N/A,N/A,"Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities"
Industrial activity code list,urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_ACTIVITY(1.5).OTU,N/A,N/A,"Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation, repair of household goods and other services"
Industrial activity code list,urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_ACTIVITY(1.5).P,N/A,N/A,Education
